Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
1,0,-23,1013,6160,-8330,-490,10,-39,1044,-586,-27,-396
2,45,13,1011,5390,-8120,-350,39,-91,932,-576,-13,-408
3,39,13,907,-490,-980,-140,-21,-2,1056,-579,-25,-403
4,-26,-44,1099,-3640,3850,-210,-40,-6,995,-579,-19,-399
5,0,-21,1014,-70,-1680,-210,35,-61,1000,-580,-25,-405
6,33,-2,1017,-1960,1540,-140,-15,-23,1010,-582,-22,-399
7,-6,-29,1030,-1050,-210,-140,-17,-16,1023,-574,-28,-409
8,23,-3,974,-350,-1400,-70,8,-49,976,-576,-18,-400
9,1,-21,1019,-1750,1050,-140,-11,-23,1022,-573,-25,-394
10,-2,-24,1026,-1120,-70,-70,-7,-22,1014,-576,-28,-408
11,16,-9,985,-630,-910,-70,1,-37,991,-579,-28,-409
12,2,-20,1015,-1470,630,-70,-10,-21,1021,-565,-22,-396
13,0,-22,1019,-840,-560,-70,-3,-30,1005,-576,-22,-402
14,5,-16,1011,-1330,350,-70,-2,-35,1001,-582,-18,-396
15,3,-19,1013,-1260,140,-70,0,-30,1000,-574,-24,-396
16,17,-9,1006,-1260,0,-70,9,-55,1013,-580,-21,-399
17,29,2,985,-3360,2310,0,21,-66,995,-576,-28,-393
18,39,7,991,-7420,7000,210,16,-58,999,-577,-22,-399
19,33,7,996,-12670,13090,490,-99,69,1011,-571,-16,-409
20,-111,-89,941,-11830,11340,770,21,-33,1003,-586,-21,-403
21,11,5,986,-2170,560,350,-19,-30,901,-579,-22,-397
22,17,-17,1042,-770,-140,-70,-12,-48,1057,-583,-19,-406
23,-14,-31,966,-1610,210,0,-11,-4,972,-586,-24,-408
24,7,-16,1038,-770,-280,-140,-2,-28,1045,-580,-24,-396
25,-3,-26,996,-1260,140,0,-15,-18,988,-585,-25,-403
26,3,-20,1015,-980,-140,-140,-9,-32,1018,-577,-16,-399
27,1,-22,1009,-1190,0,-70,-9,-22,1002,-591,-19,-403
28,0,-25,1000,-1120,0,-140,-11,-25,1009,-579,-25,-403
29,3,-21,1011,-1050,70,0,-7,-23,1011,-571,-19,-406
30,1,-23,1003,-980,-140,-140,-11,-27,1012,-579,-15,-400
31,2,-24,1007,-1260,0,-70,-12,-24,1002,-582,-15,-394
32,0,-20,1011,-910,-140,-70,-8,-26,1020,-586,-27,-402
33,0,-26,1001,-1260,70,-70,-12,-20,993,-582,-18,-402
34,2,-20,1017,-980,-70,-70,-4,-17,985,-579,-22,-399
35,-3,-25,996,-1260,0,-70,-6,-30,1029,-579,-21,-405
36,1,-20,1019,-1050,-70,-70,-11,-19,997,-583,-28,-399
37,-2,-25,999,-1050,0,-70,-9,-26,1014,-574,-28,-399
38,1,-23,1012,-1050,-70,-140,-9,-26,1009,-576,-24,-397
39,1,-24,1002,-1190,0,-70,-13,-24,1006,-582,-19,-403
40,1,-21,1018,-980,-70,-70,-6,-23,1013,-577,-24,-402
41,-2,-26,997,-1260,0,-70,-10,-24,1007,-577,-21,-402
42,3,-18,1019,-980,-70,-70,-9,-23,1007,-577,-22,-399
43,0,-24,999,-1260,70,0,-8,-25,1019,-573,-18,-399
