Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-4,-28,1009,980,140,280,-62,-22,994,-445,-81,-475
1,6168,-5,-34,1008,700,140,280,-48,-22,1001,-457,-82,-472
2,12348,0,-25,1006,700,490,490,-73,-24,985,-457,-82,-472
3,18528,0,-25,1006,700,490,490,-73,-24,985,-462,-84,-469
4,24708,-5,-27,1004,630,350,280,-64,-24,987,-462,-82,-480
5,30888,-1,-27,1011,700,210,350,-58,-22,989,-453,-82,-480
6,37067,-1,-27,1011,700,210,350,-58,-22,989,-451,-88,-471
7,43247,-4,-30,1005,490,420,350,-61,-21,994,-451,-88,-471
8,49427,-4,-28,1008,560,350,280,-61,-21,994,-448,-79,-475
9,55607,-4,-28,1008,560,350,280,-61,-24,989,-445,-81,-475
10,61787,-4,-28,1009,490,350,280,-64,-20,995,-445,-81,-475
11,67967,-4,-28,1009,420,350,280,-64,-20,995,-448,-82,-469
12,74147,-5,-32,1008,420,350,280,-63,-19,992,-448,-82,-469
13,80327,-5,-32,1009,490,70,210,-63,-25,990,-447,-84,-466
14,86507,-5,-32,1009,490,-70,210,-60,-25,990,-459,-85,-471
15,92687,-3,-28,1008,560,-70,210,-61,-22,993,-459,-85,-471
16,98867,-4,-30,1010,420,-140,210,-61,-22,993,-453,-82,-486
17,105047,-4,-30,1010,420,-140,210,-67,-20,997,-454,-84,-483
18,111227,-6,-32,1012,420,-280,210,-61,-25,998,-454,-84,-483
19,117407,0,-26,1009,420,-630,140,-61,-25,998,-448,-78,-475
20,123587,0,-26,1009,420,-630,140,-47,-30,993,-448,-78,-475
21,129767,-5,-26,1002,-140,-280,350,-47,-30,993,-465,-79,-475
22,135947,-1,-31,1012,-700,-140,140,-79,-27,996,-456,-78,-481
23,142127,-1,-31,1012,-700,-140,140,-70,-23,968,-456,-78,-481
24,148307,-7,-37,993,280,-420,70,-70,-23,968,-450,-84,-480
25,154487,-7,-37,993,1050,-700,70,-56,-20,1003,-450,-81,-471
26,160667,-2,-24,1018,1050,-700,70,-57,-28,983,-451,-81,-471
27,166847,-1,-25,1000,700,-210,210,-57,-28,983,-453,-88,-469
28,173027,-1,-25,1000,700,-210,210,-61,-22,997,-453,-88,-469
29,179207,-5,-28,1012,350,140,210,-61,-22,997,-454,-90,-477
30,185386,-4,-30,1006,490,0,210,-63,-23,995,-454,-93,-481
31,191566,-4,-30,1006,490,0,210,-62,-24,997,-454,-93,-481
32,197746,-2,-29,1009,560,-70,140,-62,-24,997,-450,-84,-478
33,203926,-3,-31,1007,350,140,210,-63,-26,990,-450,-84,-478
34,210106,-3,-31,1007,350,140,210,-62,7,996,-450,-90,-468
35,216286,-35,-27,1012,210,0,350,-62,7,996,-445,-88,-477
36,222466,-35,-49,1016,1610,-2030,1050,-77,-38,993,-445,-88,-477
37,228646,4,-49,1016,1610,-2030,1050,-77,-38,993,-453,-81,-475
38,234826,49,-10,985,2870,-1960,0,-36,-53,968,-459,-88,-475
39,241006,49,-10,985,-1610,2800,-140,-65,-28,1009,-459,-88,-475
40,247186,-2,-19,1005,-1610,2800,-140,-65,-28,1009,-451,-76,-469
41,253366,-29,-50,1028,-2730,3430,280,-87,2,980,-451,-76,-469
42,259546,-29,-50,1028,-2730,3430,210,-87,-23,1001,-456,-87,-471
43,265726,-14,-40,995,1050,-490,210,-64,-23,1001,-465,-79,-480
44,271906,8,-17,1018,2240,-1750,210,-48,-33,989,-465,-79,-480
