Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-10,-30,1006,560,70,210,-59,-14,995,-373,-141,-411
1,6168,-11,-31,1004,350,350,210,-59,-14,995,-373,-141,-411
2,12348,-11,-31,1004,350,350,210,-69,-14,985,-379,-142,-420
3,18528,-9,-28,1008,420,420,280,-69,-16,983,-378,-148,-421
4,24708,-9,-30,1009,490,70,210,-59,-16,983,-378,-148,-421
5,30887,-9,-30,1009,490,70,210,-64,-18,997,-381,-138,-424
6,37068,-10,-29,1008,490,0,210,-64,-18,997,-381,-138,-424
7,43247,-10,-29,1008,420,70,210,-64,-15,993,-382,-142,-423
8,49428,-10,-31,1008,420,70,210,-64,-16,991,-382,-136,-418
9,55607,-10,-28,1008,490,70,210,-64,-16,991,-382,-136,-418
10,61787,-10,-28,1008,490,70,210,-62,-16,988,-376,-142,-418
11,67967,-9,-30,1008,490,70,210,-62,-16,988,-376,-142,-408
12,74147,-11,-30,1008,560,70,210,-62,-17,988,-375,-141,-408
13,80327,-11,-30,1008,560,70,210,-63,-18,993,-381,-144,-420
14,86507,-10,-29,1008,490,70,210,-63,-18,993,-381,-144,-420
15,92687,-10,-29,1008,490,0,210,-60,-15,995,-379,-150,-424
16,98867,-10,-29,1008,490,0,210,-62,-16,991,-372,-147,-414
17,105047,-10,-29,1008,420,70,210,-62,-16,991,-372,-147,-414
18,111227,-11,-29,1007,490,0,210,-62,-17,993,-391,-139,-423
19,117407,-11,-29,1007,490,0,210,-62,-17,993,-391,-139,-423
20,123587,-12,-30,1008,420,70,210,-64,-16,991,-378,-141,-415
21,129767,-12,-30,1008,490,70,210,-60,-13,995,-385,-139,-411
22,135947,-9,-31,1008,490,70,210,-60,-13,995,-385,-139,-411
23,142127,-11,-32,1007,630,-210,140,-61,-17,989,-378,-141,-411
24,148307,-11,-32,1007,490,0,70,-66,-10,992,-384,-139,-411
25,154487,-14,-32,1009,490,0,70,-66,-10,992,-384,-139,-411
26,160667,-18,-37,1005,420,70,-350,-71,-5,993,-378,-142,-406
27,166847,-18,-37,1005,420,70,-350,-71,-5,993,-378,-142,-406
28,173027,-9,-30,1006,420,70,-980,-56,-26,995,-375,-150,-412
