Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-4,-30,1008,490,70,210,-64,-21,991,-436,-61,-465
1,6168,-4,-29,1009,490,70,210,-58,-22,1000,-436,-61,-465
2,12348,-3,-32,1005,420,70,350,-58,-22,1000,-432,-72,-462
3,18528,-3,-32,1005,420,70,210,-65,-20,988,-432,-72,-462
4,24708,-2,-31,1008,490,70,210,-65,-22,989,-438,-69,-457
5,30888,-5,-32,1007,490,70,210,-65,-22,989,-435,-69,-466
6,37068,-5,-32,1007,490,70,210,-62,-19,986,-435,-69,-466
7,43247,-5,-31,1006,490,70,210,-62,-19,986,-441,-73,-469
8,49427,-3,-29,1012,490,70,210,-60,-21,996,-441,-66,-462
9,55607,-3,-29,1012,490,70,210,-64,-20,987,-442,-66,-462
10,61787,-5,-31,1006,420,70,210,-64,-20,987,-438,-69,-463
11,67967,-5,-31,1007,490,70,210,-63,-22,994,-438,-69,-463
12,74147,-4,-31,1007,490,70,210,-64,-19,990,-441,-58,-459
13,80327,-4,-31,1007,490,70,210,-64,-19,990,-429,-66,-468
14,86507,-4,-31,1007,490,70,210,-63,-26,988,-429,-66,-468
15,92687,-5,-32,1007,490,70,210,-63,-26,988,-433,-69,-463
16,98867,-3,-30,1008,490,70,210,-64,-21,991,-433,-69,-463
17,105047,-3,-30,1008,490,70,140,-64,-23,990,-445,-70,-469
18,111227,-4,-32,1007,490,70,140,-64,-23,990,-432,-58,-465
19,117407,-4,-32,1008,490,70,210,-65,-19,988,-432,-58,-465
20,123587,-4,-32,1008,490,70,210,-65,-19,994,-445,-67,-462
21,129767,-4,-31,1008,490,0,210,-63,-21,994,-436,-60,-469
22,135947,-4,-31,1007,420,0,210,-63,-19,986,-436,-60,-469
23,142127,-4,-31,1007,420,0,210,-63,-19,986,-438,-66,-462
24,148307,-4,-31,1005,490,0,210,-62,-18,994,-438,-66,-462
25,154487,-4,-31,1010,490,0,210,-63,-20,993,-438,-61,-459
26,160667,-6,-29,1010,490,0,210,-63,-20,993,-433,-79,-463
27,166847,-5,-30,1006,490,-70,140,-63,-23,988,-433,-79,-463
28,173026,-5,-30,1006,490,0,210,-63,-23,988,-433,-63,-460
29,179206,-3,-30,1011,490,0,210,-64,-22,986,-433,-67,-462
30,185386,-4,-32,1006,420,0,210,-64,-22,991,-433,-67,-462
31,191566,-4,-32,1006,420,0,210,-64,-22,991,-433,-58,-469
32,197746,-3,-32,1007,490,70,210,-65,-23,992,-433,-58,-469
33,203926,-4,-34,1007,560,140,210,-64,-20,994,-442,-61,-465
34,210106,-4,-34,1007,560,140,210,-64,-20,994,-435,-66,-478
35,216286,-3,-32,1005,490,140,210,-64,-21,991,-435,-66,-478
36,222466,-3,-31,1010,560,70,210,-64,-21,991,-438,-72,-468
37,228646,-3,-31,1010,560,70,210,-65,-21,991,-438,-72,-468
38,234826,-6,-32,1004,490,70,210,-61,-20,994,-435,-63,-465
39,241006,-6,-32,1012,560,70,210,-61,-20,994,-441,-70,-468
40,247186,-5,-26,1012,560,70,210,-61,-21,991,-441,-70,-468
41,253366,-6,-31,1005,350,140,210,-62,-21,991,-432,-61,-460
42,259546,-6,-31,1005,420,70,210,-62,-21,991,-450,-69,-462
43,265726,-5,-31,1010,420,70,210,-62,-22,987,-450,-69,-462
44,271906,-5,-31,1006,420,70,210,-62,-22,987,-436,-67,-462
45,278086,-5,-31,1006,420,70,210,-64,-25,992,-436,-67,-462
46,284266,-4,-32,1006,490,70,210,-66,-18,989,-435,-67,-460
47,290446,-5,-30,1009,490,0,210,-66,-18,989,-436,-63,-469
48,296626,-5,-30,1009,490,0,210,-63,-22,989,-436,-63,-469
49,302806,-5,-31,1004,420,70,210,-63,-22,987,-439,-61,-472
50,308986,-4,-32,1009,490,0,210,-65,-24,987,-439,-61,-465
51,315165,-4,-32,1009,490,0,210,-65,-24,994,-442,-64,-465
52,321345,-4,-32,1007,420,0,210,-65,-24,994,-441,-66,-471
53,327525,-4,-32,1008,490,70,210,-65,-21,989,-441,-66,-471
54,333705,-4,-31,1008,490,70,210,-63,-22,989,-438,-69,-469
55,339885,-4,-31,1007,490,70,210,-63,-22,989,-444,-66,-466
56,346065,-4,-31,1007,490,70,210,-63,-19,984,-444,-66,-466
57,352245,-4,-30,1007,490,70,210,-63,-19,984,-433,-69,-471
58,358425,-4,-30,1007,490,70,210,-62,-24,989,-433,-69,-471
59,364605,-4,-30,1007,490,70,210,-64,-19,987,-438,-66,-463
60,370785,-5,-31,1007,490,70,210,-64,-19,987,-439,-70,-468
61,376965,-5,-30,1008,490,0,210,-63,-20,994,-439,-70,-468
62,383145,-5,-30,1008,490,0,210,-64,-22,991,-438,-60,-463
63,389325,-5,-31,1007,490,70,210,-64,-22,991,-442,-63,-465
64,395505,-6,-32,1006,490,0,210,-66,-23,991,-442,-63,-465
65,401685,-6,-32,1006,490,0,210,-66,-23,991,-432,-63,-472
66,407865,-3,-31,1008,490,0,210,-64,-26,984,-432,-63,-472
67,414045,-3,-31,1008,560,70,210,-64,-21,991,-436,-69,-463
68,420225,-3,-31,1006,560,70,210,-64,-21,991,-439,-70,-460
69,426405,-4,-31,1007,490,70,210,-64,-19,987,-439,-70,-460
70,432585,-4,-31,1007,560,70,210,-65,-22,982,-432,-51,-459
71,438765,-4,-34,1002,560,70,210,-65,-22,982,-432,-51,-468
72,444945,-5,-29,1011,910,140,210,-61,-23,1000,-438,-70,-468
73,451124,-5,-29,1011,910,140,210,-61,-23,1000,-433,-61,-457
74,457305,-4,-30,1007,700,140,210,-66,-22,987,-433,-61,-457
75,463485,-2,-30,1010,630,70,210,-67,-22,1001,-439,-66,-469
76,469664,-2,-30,1010,630,70,210,-67,-22,1001,-436,-70,-465
77,475844,-5,-34,1003,490,70,210,-64,-20,988,-436,-70,-465
78,482024,-4,-32,1011,630,0,210,-64,-26,989,-438,-64,-454
79,488204,-4,-32,1011,630,0,210,-63,-26,989,-438,-64,-454
80,494384,-3,-32,1006,490,70,210,-64,-24,992,-442,-72,-460
81,500564,-3,-32,1006,560,70,210,-64,-24,992,-436,-69,-460
82,506744,-4,-28,1012,560,70,210,-61,-22,994,-436,-69,-460
83,512924,-6,-27,1021,140,-70,140,-66,-24,985,-441,-55,-469
84,519104,-6,-27,1021,-560,70,210,-66,-24,985,-448,-63,-468
85,525284,-5,-37,989,-560,70,210,-61,-18,983,-448,-63,-468
86,531464,-2,-28,1016,630,-70,70,-61,-18,983,-438,-67,-465
87,537644,-2,-28,1016,630,-70,70,-73,-23,965,-438,-67,-465
88,543824,-10,-35,991,910,280,210,-51,-27,1044,-438,-67,-462
89,550004,1,-24,1031,630,-70,210,-51,-27,1044,-439,-72,-465
90,556184,1,-24,1031,630,-70,210,-76,-12,944,-439,-72,-465
91,562364,-6,-34,996,280,0,210,-56,-28,1019,-435,-75,-456
92,568544,-5,-35,1001,350,70,140,-56,-28,1019,-435,-75,-456
93,574724,-5,-35,1001,350,70,140,-66,-22,979,-438,-67,-462
94,580904,0,-27,1017,770,0,140,-66,-22,979,-438,-64,-460
95,587084,0,-27,1017,350,140,280,-67,-22,985,-438,-64,-460
96,593264,-8,-37,994,350,140,280,-61,-20,1008,-441,-67,-462
97,599443,-1,-26,1023,700,-70,210,-61,-20,1008,-438,-70,-454
98,605623,-1,-26,1023,280,140,280,-68,-20,976,-438,-70,-454
99,611803,-7,-34,997,280,140,280,-61,-24,1000,-436,-64,-463
100,617983,-2,-29,1011,490,0,140,-61,-24,1000,-436,-64,-463
101,624163,-2,-29,1011,490,0,140,-63,-22,996,-450,-72,-469
102,630343,-4,-30,1008,350,0,210,-63,-22,996,-433,-73,-469
103,636523,-4,-27,1007,280,140,210,-61,-23,985,-433,-73,-469
104,642703,-4,-27,1007,280,140,210,-59,-27,994,-433,-61,-459
105,648883,0,-28,1007,350,140,140,-59,-27,994,-433,-70,-459
106,655063,18,-26,1008,420,70,-280,-60,-47,994,-435,-70,-459
107,661243,18,-26,1008,420,70,-280,-60,-114,989,-435,-76,-460
108,667423,81,-16,1005,350,70,-770,-51,-114,989,-435,-76,-460
109,673603,81,-16,1005,560,70,-1750,-48,-146,997,-435,-69,-460
110,679783,119,-11,1010,560,70,-1750,-48,-146,997,-445,-64,-466
111,685963,170,-4,1006,490,140,-2800,-36,-205,988,-445,-64,-466
112,692143,170,-4,1006,490,140,-3430,-24,-244,998,-441,-63,-465
113,698323,208,12,1005,700,140,-3430,-24,-244,998,-441,-63,-465
114,704503,219,0,1006,910,-210,-3990,-52,-228,999,-444,-64,-459
115,710683,219,0,1006,910,-210,-3990,-52,-228,999,-436,-67,-465
116,716863,133,-42,1003,560,0,-4830,-68,-134,987,-436,-67,-465
117,723043,78,-39,1018,700,0,-7000,-69,-101,986,-442,-66,-468
118,729223,78,-39,1018,700,0,-7000,-69,-101,986,-438,-67,-471
119,735403,79,-23,1008,700,70,-9100,-71,-120,998,-438,-67,-471
120,741582,118,-32,1019,560,350,-8330,-65,-166,976,-436,-58,-466
