Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-4,-27,1008,910,0,210,-60,-23,1008,-457,-85,-474
1,6168,-4,-27,1008,910,-140,210,-62,-29,1008,-451,-79,-471
2,12348,-5,-31,1004,910,-140,210,-58,-16,976,-451,-79,-471
3,18528,-3,-29,1012,770,-70,210,-58,-16,976,-445,-70,-471
4,24708,-3,-29,1012,770,-70,210,-61,-23,989,-445,-70,-471
5,30888,-5,-28,1010,630,0,210,-61,-20,988,-445,-70,-471
6,37067,-4,-29,1006,490,0,210,-61,-20,988,-447,-81,-471
7,43248,-4,-29,1006,490,0,210,-60,-23,996,-459,-88,-469
8,49427,-4,-28,1007,490,0,210,-60,-23,996,-459,-88,-469
9,55607,-5,-29,1005,490,0,210,-61,-22,989,-456,-76,-471
10,61787,-5,-29,1005,490,0,210,-61,-22,995,-456,-76,-471
11,67967,-3,-30,1007,490,0,280,-61,-22,995,-445,-79,-469
12,74147,-3,-30,1007,420,0,210,-62,-26,988,-453,-84,-468
13,80327,-4,-29,1007,420,0,210,-61,-24,991,-453,-84,-468
14,86507,-5,-30,1007,420,70,280,-61,-24,991,-453,-91,-468
15,92687,-5,-30,1007,420,70,280,-61,-21,995,-454,-82,-469
16,98867,-4,-30,1008,350,70,280,-61,-21,995,-454,-82,-469
17,105047,-4,-30,1008,210,0,210,-61,-22,988,-454,-76,-474
18,111227,-4,-30,1008,210,0,210,-62,-25,991,-454,-76,-474
19,117407,-4,-30,1008,210,-70,210,-62,-25,991,-450,-82,-471
20,123587,-1,-39,1002,140,0,210,-70,-24,985,-457,-81,-469
21,129767,-1,-39,1002,140,0,210,-61,-19,989,-457,-81,-469
22,135947,-4,-28,1013,0,-140,140,-61,-19,989,-456,-82,-471
23,142127,-4,-24,1002,140,0,280,-60,-24,998,-456,-82,-478
24,148307,-6,-24,1002,140,0,280,-60,-24,998,-454,-81,-478
25,154487,-1,-27,1004,280,0,280,-60,-29,991,-445,-84,-471
26,160667,-1,-27,1004,210,140,350,-66,-24,982,-445,-84,-471
27,166847,-7,-32,1009,210,140,350,-66,-24,982,-445,-78,-465
28,173026,-2,-31,1007,560,-70,280,-61,-27,996,-453,-81,-463
29,179206,-2,-31,1007,560,-70,280,-61,-27,989,-453,-81,-463
30,185386,-3,-29,1008,490,70,280,-63,-22,989,-447,-84,-481
31,191566,-3,-31,1006,490,0,280,-61,-24,993,-447,-84,-481
32,197746,-3,-31,1006,490,0,280,-61,-24,993,-450,-85,-469
33,203926,-3,-29,1008,560,0,210,-61,-21,990,-459,-81,-474
34,210106,-5,-29,1006,420,0,280,-61,-20,989,-459,-81,-474
35,216286,-5,-29,1006,420,0,280,-61,-20,989,-450,-82,-469
36,222466,-4,-28,1007,560,0,210,-61,-24,996,-454,-85,-471
