Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-8,-32,1008,560,70,140,-69,-20,992,-441,-127,-411
1,6168,-8,-32,1006,770,-350,140,-69,-20,992,-441,-127,-411
2,12348,-8,-32,1006,770,-350,140,-60,-21,999,-441,-127,-415
3,18528,-8,-31,1009,700,-210,140,-60,-21,999,-436,-127,-420
4,24708,-8,-31,1009,420,0,280,-67,-17,995,-436,-127,-420
5,30887,-8,-33,1008,420,0,280,-62,-18,994,-439,-123,-418
6,37067,-8,-31,1008,490,70,280,-62,-18,994,-439,-124,-406
7,43247,-8,-31,1008,490,70,280,-65,-16,988,-439,-124,-406
8,49427,-8,-33,1007,490,70,280,-65,-16,997,-439,-124,-406
9,55607,-7,-32,1008,560,70,210,-65,-18,997,-439,-124,-406
10,61787,-7,-32,1008,560,70,210,-64,-16,989,-445,-121,-408
11,67967,-7,-31,1007,490,70,210,-64,-16,989,-439,-129,-411
12,74147,-9,-32,1008,490,0,210,-64,-19,989,-439,-129,-411
13,80327,-9,-32,1008,490,0,210,-65,-18,992,-438,-123,-412
14,86507,-8,-32,1009,490,0,210,-65,-18,992,-445,-123,-414
15,92687,-7,-32,1007,490,0,210,-64,-18,994,-445,-123,-414
16,98867,-7,-32,1007,490,0,210,-64,-18,994,-442,-129,-405
17,105047,-7,-30,1008,490,70,280,-63,-16,995,-442,-129,-405
18,111227,-7,-30,1008,350,70,210,-65,-19,992,-435,-133,-417
19,117407,-9,-33,1006,350,70,210,-65,-19,992,-445,-130,-417
20,123587,-8,-31,1010,560,0,210,-65,-17,993,-445,-130,-417
21,129767,-8,-31,1010,560,70,210,-64,-19,989,-436,-129,-409
22,135947,-9,-32,1005,490,70,210,-64,-19,989,-436,-129,-409
23,142127,-8,-31,1007,490,70,210,-62,-16,992,-435,-123,-411
24,148307,-8,-31,1007,490,70,210,-62,-16,992,-439,-115,-415
25,154487,-6,-26,1012,560,70,140,-58,-18,994,-439,-115,-415
26,160667,-1,-21,1005,420,140,0,-50,-25,986,-439,-124,-400
27,166847,-1,-21,1005,420,140,0,-50,-25,986,-441,-127,-408
28,173027,4,-17,1011,560,70,-700,-55,-24,996,-441,-127,-408
29,179207,-14,-35,1004,490,140,-1330,-73,-10,986,-438,-133,-412
30,185386,-14,-35,1004,490,140,-1330,-73,-10,986,-438,-133,-412
31,191566,-18,-42,1008,630,70,-1190,-75,-7,996,-438,-124,-418
32,197746,-18,-42,1008,490,70,-420,-75,-7,996,-445,-129,-418
33,203926,-16,-40,1007,490,70,-420,-69,-16,985,-445,-129,-418
34,210106,-8,-34,1007,560,0,0,-64,-19,992,-439,-132,-414
35,216286,-8,-34,1007,560,0,140,-64,-19,992,-439,-135,-411
36,222466,-9,-33,1008,490,0,140,-64,-18,989,-436,-135,-411
37,228646,-10,-31,1008,490,70,140,-64,-16,992,-439,-132,-411
38,234826,-10,-31,1008,490,70,140,-63,-16,992,-439,-132,-411
39,241006,-9,-32,1008,490,70,210,-64,-17,990,-442,-121,-414
