Sample,Zeit,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Acc_x2,Acc_y2,Acc_z2,Mag_x,Mag_y,Mag_z
0,0,-2,-29,1005,700,420,420,-89,-20,965,-450,-73,-502
1,6168,-5,-30,1013,700,420,420,-89,-20,965,-450,-73,-502
2,12348,-2,-26,954,630,910,700,-39,-23,1014,-445,-60,-505
3,18528,-2,-26,954,630,910,700,-61,-19,997,-445,-60,-505
4,24708,-7,-35,1009,560,420,350,-61,-19,997,-448,-67,-499
5,30888,-2,-28,1006,700,0,280,-61,-24,991,-454,-61,-490
6,37068,-2,-28,1006,700,0,280,-61,-24,991,-454,-61,-490
7,43247,-6,-31,1009,490,70,210,-60,-24,995,-456,-66,-501
8,49427,-3,-28,1007,560,-70,210,-62,-23,991,-448,-72,-507
9,55607,-3,-28,1007,560,-70,210,-62,-23,991,-448,-72,-507
10,61787,-2,-30,1008,420,-70,140,-60,-24,995,-453,-57,-493
11,67967,-2,-30,1008,350,-140,140,-60,-24,994,-453,-57,-493
12,74147,-3,-28,1007,350,-140,140,-63,-24,994,-456,-69,-489
13,80327,-5,-28,1008,350,-140,140,-61,-24,995,-448,-52,-498
14,86507,-5,-28,1008,280,-210,210,-61,-24,995,-448,-52,-498
15,92687,-5,-26,1006,280,-210,210,-62,-20,994,-448,-78,-496
16,98867,-4,-29,1008,210,-210,210,-61,-25,994,-448,-78,-496
17,105047,-4,-29,1008,210,-210,210,-61,-25,994,-444,-60,-487
18,111227,-2,-29,1007,70,-210,210,-62,-23,991,-451,-66,-492
19,117407,-4,-28,1005,70,-140,210,-62,-23,991,-451,-66,-492
20,123587,-4,-28,1005,70,-140,210,-69,-24,991,-444,-76,-490
21,129767,0,-46,1022,70,-140,210,-60,-20,996,-448,-73,-499
22,135947,-3,-24,985,210,-420,140,-60,-20,996,-448,-73,-499
23,142127,-3,-24,985,210,-420,140,-64,-29,1000,-444,-76,-483
24,148307,-1,-29,1017,350,70,210,-69,-23,985,-444,-76,-483
25,154487,-1,-29,1017,420,140,280,-69,-23,985,-453,-73,-499
26,160667,-5,-31,1002,420,140,280,-61,-24,1002,-451,-70,-493
27,166847,-2,-29,1008,560,-70,210,-61,-24,1002,-451,-70,-493
28,173026,-2,-29,1008,560,70,210,-62,-21,990,-456,-70,-501
29,179206,-5,-30,1009,420,70,210,-60,-23,993,-450,-61,-489
